Controle|Código|Produto|Fabricante|Preço Custo|Preço Venda|Lucro|Quantidade|Unidade|Obs|NCM|IPI|CST|ICMS|Base Cálculo|iva_st|cean|ceantrib
78|7892963910501|SACO PARA LIXO MILLA 60 LITROS PCT COM 5 UNIDADES|MILLA|2.5|4.5|80|5|PC||39232190|0|500|1.36|100|0|7892963910501|7892963910501
81|000102|TELHA 244X110 5MM INFIBRA **PROMOÇÃO **||17.685|56.89|221.78|123|PC||68118200|0|500|1.36|100|0||
82|000103|CIMENTO NACIONAL CP2 25KG|NACIONAL|10.5|15.75|50|6|SC||32245000|0|500|1.36|100|0||
83|023|ARGAMASSA COLAFIX IMAR AC1 20 KG|quartsolit|6.62|9.9|49.55|1|SC||32149000|0|500|1.36|100|0|7898240010339|7898240010339
84|01|BR. TUBO 3/4 MAJESTIC 6MTS MAJESTIC|MAJESTIC|19.88|28.9|45.37|135|UN||39172300|0|500|1.36|100|0||
85|02|BR. TUBO ESGOTO 3'' 75MM BARRA 6M MAJESTIC|MAJESTIC|72.01|93.8|30.26|30|BR||39172300|0|500|1.36|100|0||
86|2820451800596|BR. TUBO ESG. 4'' 100MM 6M AKATO /FORTLEV||73.89|96.8|31.01|29|BAR||39172300|0|500|1.36|100|0||
87|7891065000189|CADEADO E-45MM PADO|PADO|32.9|42.8|30.09|5|PC||83011000|0|500|1.36|100|0|7891065000189|7891065000189
88|7891065000165|CADEADO PADO 30MM|PADO|18.03|28.5|58.07|4|UN||83011000|0|500|1.36|100|0|7891065000165|7891065000165
90|7891065000158|CADEADO PADO 25CM|PADO|10.81|17.8|64.66|0|UN||83011000|0|500|1.36|100|0|7891065000158|7891065000158
91|7899105828731|CADEADO 20MM 3F brasil|3 F|8.5|13.8|62.35|5|PC||83011000|0|500|1.36|100|0|7899105828731|7899105828731
92|7894174211453|ESPUMA EXPANSIVA QUARTZOLIT 500ML|QUARTZOLIT|12.97|27.8|114.34|-6|PC||35061090|0|500|1.36|100|0|7894174211453|7894174211453
93|7891106002134|PIGMENTO EM PO XADREZ 250ML AMARELO|XADREZ|9.11|14.5|59.17|3|UN||32041700|0|500|1.36|100|0|7891106002134|7891106002134
94|7891106002172|PIGMENTO EM PO XADREZ  VERMELHO  |XADREZ|9.11|14.5|59.17|5|un||28211011|0|500|1.36|100|0|7891106002172|7891106002172
95|7891106002196|PIGMENTO EM PO XADREZ 250ML VERDE|XADREZ|7.94|12.5|57.43|3|UN||32041700|0|500|1.36|100|0|7891106002196|7891106002196
96|7893946484200|DISCO INOX 115 X 1,0 X 22,22MM NOVE 54|ELITE|1.68|4|138.1|8|UN||68042211|0|500|1.36|100|0|7893946484200|7893946484200
97|7896094501362|ESPUMAEXPASIVA 300ML 190G GARIN|GARIN|11.88|19.5|64.14|1|UN||39095019|0|500|1.36|100|0|7896094501362|7896094501362
98|020|ARGAMASSA AC-1 INTERNO 20KG QUARTZOLIT |QUARTZOLIT|11.5|15.9|38.26|96|SC||32149000|0|500|1.36|100|0||
99|021|ARGAMASSA QUARTZOLIT EXTERNO 20KG|QUARTZOLIT|19|28.9|52.11|-32|||32149000|0|500|1.36|100|0||
100|022|ARGAMASSA  PISO SOBRE PISO 20KG QUARTZOLIT|QUARTZOLIT|24.95|34.8|39.48|31|UN||32149000|0|500|1.36|100|0||
101|000104|CAL HIDRATADA  QUALLICAL 15KG|QUALLICAL|5.6925|12.5|119.68|26|SC|||0|500|1.36|100|0||
102|000105|CAL DE PINTURA ITAÚ 8KG||6.1|10.5|72.13|10|SC||25221000|0|500|1.36|100|0||
103|000106|MALHA POP 3X2 20X20 LEVE||45|72.9|62|-49|PÇ||73142000|0|500|1.36|100|0||
104|7893401194767|DISJUNTOR  BIPOLAR  C63 STECK|STECK|18.9|56.9|201.06|0|UN||85362000|0|500|1.36|100|0|7893401194767|7893401194767
105|7896451824806|MAXI DUCHA ULTRA LORENZETTI 220V 5500W|LORENZETTI|47.27|75|58.66|5|UN||85161000|0|500|1.36|100|0|7896451824806|7896451824806
106|7891071331109|DUCHA CORONA GORDUCHA 4T 5700W/220V|CORONA|46.24|69.9|51.17|1|UN||85161000|0|500|1.36|100|0|7891071331109|7891071331109
107|7898943365903|BITS PONTA DUPLA MELFI|MONACOO|3.9|6|53.85|9|UN||69041000|0|500|1.36|100|0||
108|000108|CANALETA TIJOLO BAIANAO 14X19X29||2.6|3.2|23.08|57|||69041000|0|500|1.36|100|0||
109|000109|BARRA DE FERRO 3/8-10MM 12mts  PROMOÇÃO |D AÇO|60.85|79.8|31.14|-70.5|BR||72142000|0|500|1.36|100|0||
110|000110|DESEMPENADEIRA DE AÇO||12.9|20.9|62.02|-6|UN|||0||0|100|0||
111|000111|TIJOLO BAIANAO 14X19X29 TATUI|TATUI|1.58|2.15|36.08|-6551|UN||69041000|0|500|1.36|100|0||
112|000112|PORTA SANFONADA 2,10X90 BEGE SANIFIX|SANIFIX|68.9|159.9|132.08|0|UN||39250000|0|500|1.36|100|0||
113|000113|TRELICA H8 LEVE 4MT||26.44|43.6|64.9|40|PÇ||72142000|0|500|1.36|100|0||
114|80|SACO DE AREIA + OU - 20KG|NOVA AMERICA|2.1|4.5|114.29|9852|SC||25059000|0|500|1.36|100|0||
115|000114|RUFO ZINCADO PÇ 2.00 MT||27.76|42|51.3|4|UN||73144100|0|500|1.36|100|0||
116|000115|COLUNA 3,00MT (10X15)  4F|GERDAU|47.19|69.9|48.12|15|PÇ||73089010|0|500|1.36|100|0||
117|000116|CARRINHO ROCAFORTE 50L |ROCAFORTE|142.5|198|38.95|-1|UN||87168000|0|500|1.36|100|0||
118|7899206166640|ESGUICHO PISTOLA CURTO P/ MANGUEIRA BESTFER|BESTFER|9.9|19.8|100|0|UN||84818094|0|500|1.36|100|0|7899206166640|7899206166640
119|7898195642036|INTERRUPTOR  EXTERNO LATAO RADIAL RED CZ 1801047|Radial|2.9|5.8|100|4|UN||96034010|0|500|1.36|100|0|7898195642036|7898195642036
120|7899206165612|ALICATE DE CORTE DIAGONAL BESTFER| BESTFER|9|18|100|2|UN||82031020|0|500|1.36|100|0|7899206165612|7899206165612
121|7898641150054|DISJUNTOR UNIPOLAR 25A ELITEK|ELITEK|7.5|15.8|110.67|5|||85362000|0|500|1.36|100|0|7898641150054|7898641150054
122|7898641150177|DISJUNTOR BIPOLAR C50 ELITEK|ELITEK|16.9|48.9|189.35|-13|||85362000|0|500|1.36|100|0|7898641150177|7898641150177
123|7898641150078|DISJUNTOR UNIPOLAR C40 ELITEK|ELITEK|5|14.8|196|-8|||85362000|0|500|1.36|100|0|7898641150078|7898641150078
124|7899206166459|LAPIS DE CARPINTEIRO VERMELHO|BESTFER|0.55|4.8|772.73|8|UN||12345678|0|500|1.36|100|0|7899206166459|7899206166459
125|7899206166220|TORNEIRA DE METAL 1/2 BESTFER|BEST FER|9.9|19.8|100|0|PC||84818099|0|500|1.36|100|0|7899206166220|7899206166220
126|000117|SARRAFO PINUS  05X 3.00 MTS 2mm||3.23|6.8|110.53|-88|PC||44071100|0|500|1.36|100|0||
127|000118|REGUA ALUMINIO 2MT ALUMARK|ALUMARK|18.95|29.9|57.78|-1|UN|||0|500|1.36|100|0||
129|000119|LUVA LATEX AMARELA|||10.8|0|-6||||0|102|1.36|100|0||
130|7894174214055|SELANTE PU 30 QUARTZOLIT 346G|QUARTZOLIT|17.8|25.8|44.94|2|||32141010|0|500|1.36|100|0||
131|7890003000700|NIVEL ALUMINIO 50CM COM IMÃ|IMPORTADO|20|36|80|1|UN||74122000|0|500|1.36|100|0|7890003000700|7890003000700
132|7899467704278|SUPORTE UNIVERSAL 14-105 PRIMETECH|PRIMETECH|12.5|25.5|104|-1|||73269090|0|500|1.36|100|0|7899467704278|7899467704278
133|7899612707659|NIVEL DE ALUMINIO 16" 2 BOLHAS SPARTA|SPARTA|12.8|23.8|85.94|1|UN||90153000|0|500|1.36|100|0|7899612707659|7899612707659
134|7896438012141|ESQUADRO PROFISSIONAL 14" RAMADA|Ramada|19.8|33|66.67|0|UN||90172000|0|500|1.36|100|0|7896438012141|7896438012141
135|7893946495480|ESQUADRO CABO PLASTICO NOVE54 12"|VONDER|8.9|13.5|51.69|1|UN||90172000|0|500|1.36|100|0|7893946495480|7893946495480
136|2820451800497|RESSISTENCIA||||0|-10||||0||0|100|0|2820451800497|2820451800497
137|11|PISO GLACIAL 43X43 CX 2,06M|NOVA BL|30.22|39.28|29.98|30|CX||69072200|0|500|1.36|100|0||
138|08|PISO CANYON BEGE 43X43 CX 2,06M||30.78|39.28|27.62|6|CX||69072200|0|500|1.36|100|0||
139|9|PISO CANYON CINZA 43X43 CX 2,06M||30.78|39.28|27.62|6|CX||69072200|0|500|1.36|100|0||
140|2010|TEC PLUS TOP 18 KG QUARTZOLIT||33.8|54.8|62.13|7|CX|||0|500|1.36|100|0||
141|7898188098406|ASSENTO SANITARIO ALMOFADADO METASUL PRETO|METASUL|47.04|72.5|54.12|-2|UN||39222000|0|500|1.36|100|0|7898188098345|7898188098345
142|7898505234098|CAMARA DE AR 3,25X8- COLSON|COLSON|10.46|20.8|98.85|-2|||40139000|0|500|1.36|100|0|7898505234098|7898505234098
